CT,BSCS,SYLLABUS
CODE,TITLE,DESCRIPTION
ICC 0111,Introduction to Computing,"This course provides a broad overview of computer science. It covers the evolution of computing, basic hardware and software components, data representation, binary systems, and the fundamental role of computers in modern society."
ICC 0112,Fundamentals of Programming,"This course focuses on algorithmic problem-solving and foundational programming concepts. It covers basic syntax, data types, control structures, and functions using a high-level programming language to build simple applications."
CSC 0113,Discrete Structures,"This course explores the mathematical foundations necessary for computer science. It covers set theory, propositional and predicate logic, Boolean algebra, relations, functions, combinatorics, and introductory graph theory, providing the logical groundwork for algorithm design."
ICC 0121,Intermediate Programming,"This course introduces complex programming paradigms and problem-solving techniques. It covers advanced data types, memory management, file handling, basic error handling, and an introduction to modular programming."
ICC 0122,Data Structures and Algorithms,"This course explores how data is organized and manipulated efficiently. It covers implementation and analysis of core structures like arrays, linked lists, stacks, queues, trees, and graphs, alongside fundamental searching and sorting algorithms."
CSC 0123,Human Computer Interaction,"This course examines the design, evaluation, and implementation of interactive computing systems for human use. It focuses on user-centered design principles, usability testing, accessibility, and the psychological aspects of how users interact with technology."
ICC 0211,Information Management,"This course introduces the core concepts of database systems and data modeling. It covers Entity-Relationship (ER) modeling, relational database design, normalization, and the use of Structured Query Language (SQL) for data retrieval and manipulation."
CSC 0212,Digital Computer Circuits,"This course details the fundamentals of digital logic design. It covers logic gates, Boolean algebra, combinational and sequential logic circuits, flip-flops, and the basic architectural building blocks of a computer's central processing unit."
CSC 0213,Object Oriented Programming,"This course dives into the Object-Oriented paradigm. It covers software design using classes and objects, core principles such as encapsulation, inheritance, polymorphism, abstraction, and introductory software design patterns."
ICC 0221,Applications Development,"This course focuses on the end-to-end process of building software applications. It covers web, mobile, or desktop development, emphasizing user interfaces, back-end integration, and deploying functional software."
CSC 0222,Algorithm and Complexity,This course explores the algorithmic design techniques and mathematical analysis. It covers time and space complexity of algorithms using Big-O notation and explore the concepts of P and NP classes.
CSC 0223,Architecture and Organization,"This course bridges the gap between hardware and software by examining how computer systems are structured. It covers instruction set architectures, CPU design, memory hierarchies, pipelining, and parallel processing."
CSC 0311,Automata Theory,"This course that studies abstract machines and computation limits. It covers regular languages, finite state automata, context-free grammars, pushdown automata, and Turing machines, forming the basis for language processing and compiler design."
CSC 0312,Software Engineering,"This course focuses on methodologies used to build large, complex software systems. It covers software development life cycles, requirements engineering, software architecture, testing, quality assurance, and project management."
CSC 0313,Intelligent System,"This course introduces the concept of Artificial Intelligence (AI). It covers fundamental AI concepts, including search algorithms, knowledge representation, logic programming, expert systems, and a foundational overview of machine learning and neural networks."
CSC 0321,Compiler Design,"This course explores the principles and practices of translating high-level programming languages into machine code. It covers lexical analysis, syntax analysis, semantic analysis, intermediate code generation, and code optimization techniques."
CSC 0322,Computational Science,"This course focuses on using advanced computing capabilities to understand and solve complex physical problems. It covers numerical methods, mathematical modeling, and algorithmic simulations used in scientific and engineering research."
CSC 0323,Research Writing,"This course equips students with the skills needed to conduct academic and technical research. It covers defining research problems, conducting literature reviews, understanding research methodologies, and formatting scientific papers."
CSC 0331,Practicum,"This course is an industry-focused internship or applied project experience. Students are placed in a professional environment to apply their academic knowledge to real-world problems, gaining practical skills and workplace experience."
CSC 0411,Thesis Writing 1,"This course is the first phase of the capstone project. Students are expected to identify a significant problem in computer science, conduct a thorough literature review, propose a methodological solution, and successfully defend their research proposal."
CSC 0412,Networks and Communication,"This course studies computer networking concepts. It covers the OSI and TCP/IP models, network topologies, routing and switching protocols, local and wide area networks (LAN/WAN), and basic network security principles."
CSC 0413,CS Elective,This course tailors to current industry trends or specific domains within computer science.
CSC 0421,Thesis Writing 2,"This course is the final phase of the capstone project. Building on Thesis 1, students will implement their proposed system or algorithm, conduct rigorous testing and data analysis, write the final research manuscript, and present a final oral defense."
CSC 0422,Social Issues and Professional Practice,"This course explores the ethical, legal, and social implications of computing. It covers data privacy, intellectual property, cybercrime, the impact of technology on society, and professional codes of ethics for software engineers."
CSC 0423,Graphics and Visual Computing,"This course introduces the mathematical and algorithmic foundations of computer graphics. Students will learn about 2D and 3D rendering pipelines, geometric transformations, clipping, illumination models, shading, and the basics of computer animation."
