CN,BSN,SYLLABUS
CODE,TITLE,DESCRIPTION
NRS 0111,Theoretical Foundations in Nursing,This course explores the historical evolution and theoretical frameworks that form the basis of the nursing profession. It introduces key nursing models and philosophies to guide clinical practice and patient care.
NRS 0112,Anatomy and Physiology,This course provides an in-depth study of the structure and function of the human body across the lifespan. It focuses on the normal physiological processes and the interrelationship of body systems to maintain homeostasis.
CHEM 0113,Biochemistry,"This course introduces the fundamental chemical processes and molecular structures occurring within living organisms. It focuses on the role of biomolecules, metabolism, and energy transfer in maintaining health and understanding disease mechanisms."
NRS 0121,Health Assessment,This course focuses on the development of comprehensive physical examination and health history-taking skills. It provides the foundation for identifying normal and abnormal findings to formulate accurate nursing diagnoses.
NRS 0122,Basic Concepts in Nursing,"This course introduces the core principles, roles, and responsibilities of a nurse in various healthcare settings. It focuses on fundamental nursing skills, patient safety, and the nursing process as a framework for care."
NRS 0123,Microbiology and Parasitology,"This course explores the characteristics of microorganisms and parasites, emphasizing their role in human health and infectious diseases. It focuses on infection control, immunology, and the principles of disease transmission and prevention."
NRS 0211,Maternal and Child Nursing I,"This course provides foundational knowledge on the care of women during the normal childbearing cycle and the care of healthy newborns. It focuses on physiological changes, prenatal care, labor, delivery, and immediate postpartum management."
NRS 0212,Community Health Nursing I,"This course introduces the concepts of public health and the role of the nurse in promoting health within communities. It focuses on epidemiology, family-level assessment, and primary healthcare strategies to address community health needs."
NRS 0213,Pharmacology,"This course explores the fundamental principles of pharmacokinetics and pharmacodynamics in relation to nursing practice. It focuses on drug classifications, therapeutic effects, adverse reactions, and the nurse's role in safe medication administration."
NRS 0221,Maternal and Child Nursing II,This course focuses on the nursing care of women with complications during the childbearing cycle and pediatric patients with common illnesses. It explores family-centered care strategies to address high-risk pregnancies and the specialized needs of infants and children.
NRS 0222,Community Health Nursing II,"This course explores advanced public health concepts and population-focused nursing interventions. It focuses on program planning, evaluation, and addressing the complex health disparities and environmental issues affecting diverse communities."
STS 0223,"Science, Technology and Society","This course explores the dynamic interactions between scientific advancements, technological innovations, and human society. It focuses on the ethical, environmental, and social implications of these advancements in the context of healthcare and daily life."
NRS 0311,Medical-Surgical Nursing I,"This course provides knowledge on the nursing care of adult patients experiencing acute and chronic non-critical alterations in health. It focuses on the nursing process, evidence-based interventions, and patient education for conditions affecting various body systems."
NRS 0312,Care of the Chronically Ill and the Elderly,"This course focuses on the specialized nursing needs of the aging population and individuals living with long-term chronic conditions. It explores strategies for promoting quality of life, managing multiple comorbidities, and providing palliative or end-of-life care."
NRS 0313,Nursing Informatics,"This course introduces the integration of nursing science with information and analytical sciences to improve patient care. It focuses on the use of healthcare technologies, electronic health records, and data management systems in clinical practice."
NRS 0321,Medical-Surgical Nursing II,"This course focuses on the advanced medical-surgical nursing care of adult patients with complex, severe, or multisystem health alterations. It explores critical thinking and advanced therapeutic interventions required for managing acute exacerbations and pre-operative/post-operative care."
NRS 0322,Psychiatric Nursing,"This course explores the principles of mental health promotion and the nursing care of individuals experiencing psychiatric disorders. It focuses on therapeutic communication, psychopharmacology, and managing diverse mental health conditions across the lifespan."
NRS 0323,Nursing Research I,"This course introduces the fundamental concepts, ethics, and methodologies of quantitative and qualitative nursing research. It focuses on developing the skills necessary to formulate research questions, conduct literature reviews, and design basic research studies."
NRS 0411,Intensive Care Nursing,"This course provides specialized knowledge for caring for critically ill patients with life-threatening conditions in highly monitored environments. It focuses on advanced life support, complex hemodynamic monitoring, and rapid crisis intervention."
NRS 0412,Clinical Teaching,"This course explores the principles of adult learning and educational strategies applied to nursing education and patient teaching. It focuses on developing skills in curriculum design, instructional methods, and evaluating learning outcomes in clinical and academic settings."
NRS 0413,Nursing Research II,"This course focuses on the practical application of research methodologies through the execution of a nursing research project. It explores data collection, statistical analysis, and the interpretation and dissemination of findings to support evidence-based practice."
NRS 0421,Nursing Leadership and Management,"This course explores theories of leadership, management, and organizational behavior within healthcare systems. It focuses on the nurse's role in decision-making, resource allocation, team delegation, and quality improvement initiatives."
NRS 0422,Disaster Nursing,"This course provides knowledge on disaster preparedness, mitigation, response, and recovery strategies in healthcare emergencies. It focuses on triage, crisis management, and the unique roles of nurses during mass casualty incidents and natural disasters."
NRS 0423,Intensive Nursing Practicum,"This course focuses on the comprehensive clinical application of acquired nursing knowledge and skills in various healthcare settings. It provides an immersive, preceptored experience to transition the student from a learner to an independent, entry-level professional nurse."
