CT,BSIT,SYLLABUS
CODE,TITLE,DESCRIPTION
ICC 0111,Introduction to Computing,"This course provides a broad overview of computer science. It covers the evolution of computing, basic hardware and software components, data representation, binary systems, and the fundamental role of computers in modern society."
ICC 0112,Fundamentals of Programming,"This course focuses on algorithmic problem-solving and foundational programming concepts. It covers basic syntax, data types, control structures, and functions using a high-level programming language to build simple applications."
CET 0111,Calculus 1,"This course introduces the fundamental concepts of limits, derivatives, and integrals of functions of a single variable. It covers differentiation rules, applications of derivatives, optimization, and the Fundamental Theorem of Calculus."
ICC 0121,Intermediate Programming,"This course introduces complex programming paradigms and problem-solving techniques. It covers advanced data types, memory management, file handling, basic error handling, and an introduction to modular programming."
ICC 0122,Data Structures and Algorithms,"This course explores how data is organized and manipulated efficiently. It covers implementation and analysis of core structures like arrays, linked lists, stacks, queues, trees, and graphs, alongside fundamental searching and sorting algorithms."
CET 0112,Calculus 2,"This course advances the study of single-variable calculus with a focus on integral calculus and infinite series. It covers techniques of integration, applications of definite integrals, polar coordinates, and power series."
ICC 0211,Information Management,"This course introduces the core concepts of database systems and data modeling. It covers Entity-Relationship (ER) modeling, relational database design, normalization, and the use of Structured Query Language (SQL) for data retrieval and manipulation."
EIT 0211,Event Driven Programming,"This course focuses on programming paradigms where the flow of execution is determined by user actions or system events. It covers graphical user interface (GUI) design, event handlers, listeners, and asynchronous programming."
EIT 0212,Discrete Mathematics,"This course provides the mathematical foundations necessary for computer science and information technology. It covers logic, set theory, combinatorics, graph theory, and Boolean algebra."
ICC 0221,Applications Development,"This course focuses on the end-to-end process of building software applications. It covers web, mobile, or desktop development, emphasizing user interfaces, back-end integration, and deploying functional software."
EIT 0221,Quantitative Methods,"This course explores mathematical and statistical techniques used for decision-making and problem-solving in business and technology. It covers probability distributions, hypothesis testing, regression analysis, and linear programming."
EIT 0222,Web Systems Technology,"This course examines the principles and technologies underlying modern web application development and deployment. It covers client-side scripting, server-side programming, web services, and database integration."
EIT 0311,Networking 1,"This course introduces the foundational concepts, protocols, and architecture of computer networks. It covers the OSI model, TCP/IP suite, IP addressing, routing fundamentals, and local area network (LAN) technologies."
EIT 0312,Advanced Database Systems,"This course explores complex database concepts beyond basic relational models and query languages. It covers transaction management, concurrency control, distributed databases, data warehousing, and NoSQL technologies."
EIT 0313,Platform Technology,"This course examines the hardware and software components that form the infrastructure of computing systems. It covers operating system principles, hardware architectures, virtualization, and cloud computing platforms."
EIT 0321,Networking 2,"This course builds upon basic networking principles to explore advanced routing and switching technologies. It covers wide area network (WAN) protocols, network security, scaling networks, and network administration."
EIT 0322,Information Assurance and Security,"This course introduces the principles of protecting information systems from unauthorized access, use, and destruction. It covers cryptography, risk management, access control, network security, and security policies."
EIT 0323,Integrative Programming and Technologies,"This course focuses on the methods used to connect disparate software applications and systems. It covers application programming interfaces (APIs), middleware, data exchange formats, and enterprise application integration."
EIT 0331,IT Practicum,"This course provides supervised, practical work experience within a professional industry setting. It covers the application of theoretical knowledge to real-world tasks, professional communication, and workplace ethics."
EIT 0411,Capstone Project 1,"This course initiates the final, comprehensive project demonstrating the student's accumulated knowledge in the program. It covers project conceptualization, requirement gathering, feasibility analysis, and system design."
EIT 0412,System Integration and Architecture 1,"This course introduces the principles of designing and integrating complex enterprise IT systems. It covers enterprise architecture frameworks, system lifecycles, requirement analysis, and basic integration patterns."
EIT 0413,IT Elective 1,"This course examines the processes and disciplines required to ensure and maintain the quality of software systems. It covers software quality control, quality assurance practices, project management, configuration management, and release management."
EIT 0421,Capstone Project 2,"This course concludes the comprehensive project begun in Capstone Project 1 through system development and deployment. It covers system implementation, software testing, user training, and final project documentation."
EIT 0422,System Integration and Architecture 2,"This course advances the study of enterprise architecture with an emphasis on implementation and management. It covers advanced integration technologies, service-oriented architecture (SOA), system security, and performance monitoring."
EIT 0423,IT Elective 2,"This course introduces the fundamental concepts, techniques, and methodologies used in data analytics for factual decision-making. It covers prescriptive analysis, predictive analysis, statistical procedures, and the practical implementation of data mining techniques."
